% T1_PositionPoints T1_W T1_D T1_L T1_WLast6 T1_DLast6 T1_LLast6 T1_WHomeLast6 T1_DHomeLast6 T1_LHomeLast6 T1_W1v1_last6 T1_D1v1_last6 T1_L1v1_last6
% T2_PositionPoints T2_W T2_D T2_L T2_WLast6 T2_DLast6 T2_LLast6 T2_WAwayLast6 T2_DAwayLast6 T2_LAwayLast6 T2_W1v1_last6 T2_D1v1_last6 T2_L1v1_last6
% Label (1 == Home, X == Draw, 2 == Away)

% Сентръл Коуст - Пърт Глори 31.12.18 Au1
2 0 2 7 0 0 6 0.66 1.66 3.66 3 0 3    20 6 2 1 4 1 1 3.66 1.66 0.66 3 0 3     2

% Кардиф Мет - Бари 31.12.18 Wls
21 6 3 10 1 1 4 2 1 3 3 1 2    41 13 2 4 4 1 1 4 1 1 2 1 3     1

% Ирони Рамат Хашарон - Бейтар Тел 31.12.18 Il2 
19 4 7 5 2 2 2 2 2 2 0 1 5     25 7 4 5 4 0 2 1 1 4 5 1 0     2

% Апоел Мармолек - Апоел Кфар Саба 31.12.18 Il2
6 0 6 10 0 1 5 0 3 3 2 1 3     31 9 4 3 3 1 2 3 2 1 3 1 2     2

% Бейтар Джерусалем - Апоел Хайфа 31.12.18 Il1
16 4 4 7 2 2 2 1 2 3 4 2 0     20 5 5 5 3 2 1 4 2 0 0 2 4     X

% Кардиф Сити - Тотнъм 01.01.19 PR
18 5 3 12 2 1 3 4 0 2 0.33 1.33 4.33     45 15 0 5 4 1 1 4 1 1 4.33 1.33 0.33     2

% Насионал Мадейра - Витория Гимараеш 02.01.19 Pt1
16 4 4 6 3 2 1 2 1 3 2 3 1     25 7 4 3 4 2 0 3 2 1 1 3 2     1

% Боависта - Витория Сетубал 02.01.19 Pt1
13 3 4 7 1 3 2 2 1 3 4 2 0     17 5 2 7 2 0 4 2 2 2 0 2 4     1

% Спортинг Брага - Маритимо 02.01.19 Pt1
30 9 3 2 4 0 2 5 1 0 3 1 2     11 3 2 9 0 1 5 1 1 4 2 1 3     1

% Борнeмут - Уотфорд 02.01.19 PR
26 8 2 10 1 0 5 3 0 3 1 4 1     28 8 4 8 2 2 2 2 2 2 1 4 1     X

% Челси - Саутхямптън 02.01.19 PR
43 13 4 3 4 1 1 4 1 1 6 0 0     15 3 6 11 2 0 4 1 1 4 0 0 6     X

% Хъдърсфийлд Таун - Бърнли 02.01.19 PR
10 2 4 14 0 0 6 1 1 4 0 3 3     15 4 3 13 2 0 4 0 1 5 3 3 0     2

% Уест Хям - Брайтън 02.01.19 PR
27 8 3 9 4 0 2 3 0 3 3 0 3     25 7 4 9 2 1 3 2 0 4 3 0 3     X

% Уулвърхямптън - Кристъл Палас 02.01.19 PR
29 8 5 7 4 1 1 2 0 4 2 1 3     19 5 4 11 2 1 3 1 1 4 3 1 2     2

% Нюкясъл - Манчестър Юнайтед 02.01.19 PR
18 4 6 10 1 3 2 2 1 3 1 2 3     35 10 5 5 4 0 2 2 1 3 3 2 1     2

% Портимонензе - Бенфика 02.01.19 Pt1
20 6 2 6 3 1 2 4 2 0 0.66 1.66 3.66     32 10 2 2 5 0 1 3 0 3 3.66 1.66 0.66     1

% Рио Аве - Морейрензе 02.01.19 Pt1
19 5 4 5 0 2 4 3 2 1 3 1 2     22 7 1 6 4 0 2 2 0 4 2 1 3     2

% Шавеш - Фейрензе 03.01.19 Pt1
# 7 2 1 11 0 0 6 1 1 4 2 2 2     10 2 4 8 0 1 5 0 0 6 2 2 2

% Ал Масри - Ел Гунах 03.01.19 Eg1
